ID,TYPE,DATE,TIME,REASON,CHIP TEMP C,PCB TEMP C,VOLTS
1,RESET,00-01-17,01:27,UPDI,21.1,20.2,0.00
2,RESET,00-02-18,20:12,POWER ON,19.4,18.4,10.69
3,WAKE,00-02-18,20:13,OK BTN,,,
4,PUMP,26-01-22,00:00,AUTO,-14.8,-16.3,8.68
5,PUMP,26-01-22,00:00,AUTO,-14.8,-16.3,8.57
6,PUMP,26-01-23,00:00,AUTO,-15.4,-16.6,8.21
7,PUMP,26-01-23,00:00,AUTO,-15.4,-16.6,8.11
8,PUMP,26-01-24,00:00,AUTO,-13.7,-15.0,8.04
9,PUMP,26-01-24,00:00,AUTO,-13.7,-15.0,7.94
10,PUMP,26-01-25,00:00,AUTO,-15.4,-16.6,7.87
11,PUMP,26-01-25,00:00,AUTO,-15.4,-16.6,7.78
12,PUMP,26-01-26,00:00,AUTO,-14.8,-16.5,7.82
13,PUMP,26-01-26,00:00,AUTO,-14.3,-16.3,7.74
14,WAKE,26-01-26,11:16,OK BTN,,,
15,PUMP,26-01-27,00:00,AUTO,-16.0,-16.8,7.83
16,PUMP,26-01-27,00:00,AUTO,-14.8,-16.6,7.74
17,PUMP,26-01-28,00:00,AUTO,-14.8,-15.8,7.87
18,PUMP,26-01-28,00:00,AUTO,-14.8,-15.8,7.78
19,WAKE,26-01-28,10:21,OK BTN,,,
20,PUMP,26-01-29,00:00,AUTO,-14.8,-15.8,7.89
21,PUMP,26-01-29,00:00,AUTO,-14.3,-15.8,7.79
22,PUMP,26-01-30,00:00,AUTO,-15.4,-16.8,7.89
23,PUMP,26-01-30,00:00,AUTO,-14.8,-16.8,7.79
24,PUMP,26-01-31,00:00,AUTO,-15.4,-16.6,7.87
25,PUMP,26-01-31,00:00,AUTO,-14.8,-16.6,7.79
26,PUMP,26-02-01,00:00,AUTO,-14.3,-15.7,7.87
27,PUMP,26-02-01,00:00,AUTO,-14.3,-15.7,7.78
28,PUMP,26-02-02,00:00,AUTO,-15.4,-16.8,7.85
29,PUMP,26-02-02,00:00,AUTO,-15.4,-16.6,7.76
30,PUMP,26-02-03,00:00,AUTO,-16.0,-16.6,7.85
31,PUMP,26-02-03,00:00,AUTO,-15.4,-16.8,7.75
32,PUMP,26-02-04,00:00,AUTO,-16.0,-16.9,7.83
33,PUMP,26-02-04,00:00,AUTO,-15.4,-16.9,7.75
34,PUMP,26-02-05,00:00,AUTO,-16.0,-17.3,7.82
35,PUMP,26-02-05,00:00,AUTO,-15.4,-17.3,7.72
36,PUMP,26-02-06,00:00,AUTO,-14.8,-16.3,7.82
37,PUMP,26-02-06,00:00,AUTO,-14.8,-16.3,7.72
38,PUMP,26-02-07,00:00,AUTO,-15.4,-16.9,7.82
39,PUMP,26-02-07,00:00,AUTO,-15.4,-16.9,7.72
